 -------------------------------------------------------------------------------------------------------------------------------------------------
|        Name       |     PdgID    |   Q  |     Mass    |  (c*)Tau/Gamma |  MaxWidth  |        EvtGen        |  PythiaID  |     Antiparticle     |
| B*_s2~0           |         -535 |   0  |    5.84 GeV |        1.6 MeV |      0     |      anti-B_s2*0     |    -535    |        B*_s20        |
| B*_s20            |          535 |   0  |    5.84 GeV |        1.6 MeV |      0     |        B_s2*0        |     535    |        B*_s2~0       |
| B_c-              |         -541 |  -1  |   6.274 GeV |        152 um  |      0     |         B_c-         |    -541    |         B_c+         |
| B_c+              |          541 |   1  |   6.274 GeV |        152 um  |      0     |         B_c+         |     541    |         B_c-         |
| B_c*-             |         -543 |  -1  |   6.602 GeV |          0 ns  |      0     |         B_c*-        |    -543    |         B_c*+        |
| B_c*+             |          543 |   1  |   6.602 GeV |          0 ns  |      0     |         B_c*+        |     543    |         B_c*-        |
| B_c2*-            |         -545 |  -1  |    7.35 GeV |          0 ns  |      0     |        B_c2*-        |    -545    |        B_c2*+        |
| B_c2*+            |          545 |   1  |    7.35 GeV |          0 ns  |      0     |        B_c2*+        |     545    |        B_c2*-        |
| eta_b(1S)         |          551 |   0  |   9.403 GeV |          0 ns  |      0     |         eta_b        |     551    |        self-cc       |
| Upsilon(1S)       |          553 |   0  |    9.46 GeV |         54 keV |      0     |        Upsilon       |     553    |        self-cc       |
| chi_b2(1P)        |          555 |   0  |   9.912 GeV |          0 ns  |      0     |        chi_b2        |     555    |        self-cc       |
| Upsilon_3(1D)     |          557 |   0  |   10.16 GeV |          0 ns  |      0     |     Upsilon_3(1D)    |     557    |        self-cc       |
| anti-dd_1         |        -1103 | +2/3 |       0 eV  |          0 ns  |      0     |       anti-dd_1      |    -1103   |         dd_1         |
| dd_1              |         1103 | -2/3 |       0 eV  |          0 ns  |      0     |         dd_1         |    1103    |       anti-dd_1      |
| Delta(1620)~+     |        -1112 |   1  |    1.63 GeV |        140 MeV |      0     |        unknown       |      0     |     Delta(1620)-     |
| Delta(1620)-      |         1112 |  -1  |    1.63 GeV |        140 MeV |      0     |        unknown       |      0     |     Delta(1620)~+    |
| Delta~+           |        -1114 |   1  |   1.232 GeV |        117 MeV |      0     |      anti-Delta+     |    -1114   |        Delta-        |
| Delta-            |         1114 |  -1  |   1.232 GeV |        117 MeV |      0     |        Delta-        |    1114    |        Delta~+       |
| Delta(1905)~+     |        -1116 |   1  |    1.88 GeV |        330 MeV |      0     |        unknown       |      0     |     Delta(1905)-     |
| Delta(1905)-      |         1116 |  -1  |    1.88 GeV |        330 MeV |      0     |        unknown       |      0     |     Delta(1905)~+    |
| Delta(1950)~+     |        -1118 |   1  |    1.93 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1950)-     |
| Delta(1950)-      |         1118 |  -1  |    1.93 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1950)~+    |
| Delta(1620)~0     |        -1212 |   0  |    1.63 GeV |        140 MeV |      0     |        unknown       |      0     |     Delta(1620)0     |
| Delta(1620)0      |         1212 |   0  |    1.63 GeV |        140 MeV |      0     |        unknown       |      0     |     Delta(1620)~0    |
| N(1520)~0         |        -1214 |   0  |   1.515 GeV |        115 MeV |      0     |        unknown       |      0     |       N(1520)0       |
| N(1520)0          |         1214 |   0  |   1.515 GeV |        115 MeV |      0     |        unknown       |      0     |       N(1520)~0      |
| Delta(1905)~0     |        -1216 |   0  |    1.88 GeV |        330 MeV |      0     |        unknown       |      0     |     Delta(1905)0     |
| Delta(1905)0      |         1216 |   0  |    1.88 GeV |        330 MeV |      0     |        unknown       |      0     |     Delta(1905)~0    |
| N(2190)~0         |        -1218 |   0  |    2.19 GeV |        500 MeV |      0     |        unknown       |      0     |       N(2190)0       |
| N(2190)0          |         1218 |   0  |    2.19 GeV |        500 MeV |      0     |        unknown       |      0     |       N(2190)~0      |
| anti-ud_0         |        -2101 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-ud_0      |    -2101   |         ud_0         |
| ud_0              |         2101 | +1/3 |       0 eV  |          0 ns  |      0     |         ud_0         |    2101    |       anti-ud_0      |
| anti-ud_1         |        -2103 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-ud_1      |    -2103   |         ud_1         |
| ud_1              |         2103 | +1/3 |       0 eV  |          0 ns  |      0     |         ud_1         |    2103    |       anti-ud_1      |
| n~0               |        -2112 |   0  |   939.6 MeV |      880.3 s   |      0     |        anti-n0       |    -2112   |          n0          |
| n0                |         2112 |   0  |   939.6 MeV |      880.3 s   |      0     |          n0          |    2112    |          n~0         |
| Delta~0           |        -2114 |   0  |   1.232 GeV |        117 MeV |      0     |      anti-Delta0     |    -2114   |        Delta0        |
