 -------------------------------------------------------------------------------------------------------------------------------------------------
|        Name       |     PdgID    |   Q  |     Mass    |  (c*)Tau/Gamma |  MaxWidth  |        EvtGen        |  PythiaID  |     Antiparticle     |
| Delta(1600)~0     |       -32114 |   0  |     1.6 GeV |        320 MeV |      0     |        unknown       |      0     |     Delta(1600)0     |
| Delta(1600)0      |        32114 |   0  |     1.6 GeV |        320 MeV |      0     |        unknown       |      0     |     Delta(1600)~0    |
| N(1720)~-         |       -32124 |  -1  |    1.72 GeV |        250 MeV |      0     |        unknown       |      0     |       N(1720)+       |
| N(1720)+          |        32124 |   1  |    1.72 GeV |        250 MeV |      0     |        unknown       |      0     |       N(1720)~-      |
| N(1650)~-         |       -32212 |  -1  |   1.655 GeV |        140 MeV |      0     |        unknown       |      0     |       N(1650)+       |
| N(1650)+          |        32212 |   1  |   1.655 GeV |        140 MeV |      0     |        unknown       |      0     |       N(1650)~-      |
| Delta(1600)~-     |       -32214 |  -1  |     1.6 GeV |        320 MeV |      0     |        unknown       |      0     |     Delta(1600)+     |
| Delta(1600)+      |        32214 |   1  |     1.6 GeV |        320 MeV |      0     |        unknown       |      0     |     Delta(1600)~-    |
| Delta(1600)~--    |       -32224 |  -2  |     1.6 GeV |        320 MeV |      0     |        unknown       |      0     |     Delta(1600)++    |
| Delta(1600)++     |        32224 |   2  |     1.6 GeV |        320 MeV |      0     |        unknown       |      0     |    Delta(1600)~--    |
| Lambda(1670)~0    |       -33122 |   0  |    1.67 GeV |         35 MeV |      0     |  anti-Lambda(1670)0  |      0     |     Lambda(1670)0    |
| Lambda(1670)0     |        33122 |   0  |    1.67 GeV |         35 MeV |      0     |     Lambda(1670)0    |      0     |    Lambda(1670)~0    |
| N(1900)~0         |       -41214 |   0  |    1.85 GeV |          0 ns  |      0     |        unknown       |      0     |       N(1900)0       |
| N(1900)0          |        41214 |   0  |    1.85 GeV |          0 ns  |      0     |        unknown       |      0     |       N(1900)~0      |
| N(1710)~0         |       -42112 |   0  |    1.71 GeV |        100 MeV |      0     |        unknown       |      0     |       N(1710)0       |
| N(1710)0          |        42112 |   0  |    1.71 GeV |        100 MeV |      0     |        unknown       |      0     |       N(1710)~0      |
| N(1900)~-         |       -42124 |  -1  |    1.85 GeV |          0 ns  |      0     |        unknown       |      0     |       N(1900)+       |
| N(1900)+          |        42124 |   1  |    1.85 GeV |          0 ns  |      0     |        unknown       |      0     |       N(1900)~-      |
| N(1710)~-         |       -42212 |  -1  |    1.71 GeV |        100 MeV |      0     |        unknown       |      0     |       N(1710)+       |
| N(1710)+          |        42212 |   1  |    1.71 GeV |        100 MeV |      0     |        unknown       |      0     |       N(1710)~-      |
| Lambda(1800)~0    |       -43122 |   0  |     1.8 GeV |        300 MeV |      0     |  anti-Lambda(1800)0  |      0     |     Lambda(1800)0    |
| Lambda(1800)0     |        43122 |   0  |     1.8 GeV |        300 MeV |      0     |     Lambda(1800)0    |      0     |    Lambda(1800)~0    |
| N(2090)~0         |       -52114 |   0  |       2 GeV |          0 ns  |      0     |        unknown       |      0     |       N(2090)0       |
| N(2090)0          |        52114 |   0  |       2 GeV |          0 ns  |      0     |        unknown       |      0     |       N(2090)~0      |
| N(2090)~-         |       -52214 |  -1  |       2 GeV |          0 ns  |      0     |        unknown       |      0     |       N(2090)+       |
| N(2090)+          |        52214 |   1  |       2 GeV |          0 ns  |      0     |        unknown       |      0     |       N(2090)~-      |
| Lambda(1810)~0    |       -53122 |   0  |    1.81 GeV |        150 MeV |      0     |  anti-Lambda(1810)0  |      0     |     Lambda(1810)0    |
| Lambda(1810)0     |        53122 |   0  |    1.81 GeV |        150 MeV |      0     |     Lambda(1810)0    |      0     |    Lambda(1810)~0    |
| pi(1300)0         |       100111 |   0  |     1.3 GeV |        400 MeV |      0     |        pi(2S)0       |      0     |        self-cc       |
| rho(1450)0        |       100113 |   0  |   1.465 GeV |        400 MeV |      0     |       rho(2S)0       |      0     |        self-cc       |
| pi(1300)-         |      -100211 |  -1  |     1.3 GeV |        400 MeV |      0     |        pi(2S)-       |      0     |       pi(1300)+      |
| pi(1300)+         |       100211 |   1  |     1.3 GeV |        400 MeV |      0     |        pi(2S)+       |      0     |       pi(1300)-      |
| rho(1450)-        |      -100213 |  -1  |   1.465 GeV |        400 MeV |      0     |       rho(2S)-       |      0     |      rho(1450)+      |
| rho(1450)+        |       100213 |   1  |   1.465 GeV |        400 MeV |      0     |       rho(2S)+       |      0     |      rho(1450)-      |
| eta(1295)         |       100221 |   0  |   1.294 GeV |         55 MeV |      0     |        eta(2S)       |      0     |        self-cc       |
| omega(1420)       |       100223 |   0  |   1.425 GeV |        215 MeV |      0     |       omega(2S)      |      0     |        self-cc       |
| K(1460)~0         |      -100311 |   0  |   1.432 GeV |          0 ns  |      0     |        unknown       |      0     |       K(1460)0       |
| K(1460)0          |       100311 |   0  |   1.432 GeV |          0 ns  |      0     |        unknown       |      0     |       K(1460)~0      |
| K*(1410)~0        |      -100313 |   0  |   1.414 GeV |        232 MeV |      0     |       anti-K'*0      |      0     |       K*(1410)0      |
| K*(1410)0         |       100313 |   0  |   1.414 GeV |        232 MeV |      0     |         K'*0         |      0     |      K*(1410)~0      |
| K*_2(1980)~0      |      -100315 |   0  |   1.973 GeV |          0 ns  |      0     |        unknown       |      0     |      K*_2(1980)0     |
| K*_2(1980)0       |       100315 |   0  |   1.973 GeV |          0 ns  |      0     |        unknown       |      0     |     K*_2(1980)~0     |
| K(1460)-          |      -100321 |  -1  |   1.432 GeV |          0 ns  |      0     |        unknown       |      0     |       K(1460)+       |
| K(1460)+          |       100321 |   1  |   1.432 GeV |          0 ns  |      0     |        unknown       |      0     |       K(1460)-       |
| K*(1410)-         |      -100323 |  -1  |   1.414 GeV |        232 MeV |      0     |         K'*-         |      0     |       K*(1410)+      |
| K*(1410)+         |       100323 |   1  |   1.414 GeV |        232 MeV |      0     |         K'*+         |      0     |       K*(1410)-      |
| K*_2(1980)-       |      -100325 |  -1  |   1.973 GeV |          0 ns  |      0     |        unknown       |      0     |      K*_2(1980)+     |
| K*_2(1980)+       |       100325 |   1  |   1.973 GeV |          0 ns  |      0     |        unknown       |      0     |      K*_2(1980)-     |
| eta(1475)         |       100331 |   0  |   1.476 GeV |         85 MeV |      0     |        unknown       |      0     |        self-cc       |
| phi(1680)         |       100333 |   0  |    1.68 GeV |        150 MeV |      0     |       phi(1680)      |      0     |        self-cc       |
| D(2S)-            |      -100411 |  -1  |    2.58 GeV |          0 ns  |      0     |        D(2S)-        |      0     |        D(2S)+        |
| D(2S)+            |       100411 |   1  |    2.58 GeV |          0 ns  |      0     |        D(2S)+        |      0     |        D(2S)-        |
| D*(2640)-         |      -100413 |  -1  |    2.64 GeV |          0 ns  |      0     |        D*(2S)-       |      0     |       D*(2640)+      |
| D*(2640)+         |       100413 |   1  |    2.64 GeV |          0 ns  |      0     |        D*(2S)+       |      0     |       D*(2640)-      |
| D(2S)~0           |      -100421 |   0  |    2.58 GeV |          0 ns  |      0     |      anti-D(2S)0     |      0     |        D(2S)0        |
| D(2S)0            |       100421 |   0  |    2.58 GeV |          0 ns  |      0     |        D(2S)0        |      0     |        D(2S)~0       |
| D*(2640)~0        |      -100423 |   0  |    2.64 GeV |          0 ns  |      0     |     anti-D*(2S)0     |      0     |       D*(2640)0      |
| D*(2640)0         |       100423 |   0  |    2.64 GeV |          0 ns  |      0     |        D*(2S)0       |      0     |      D*(2640)~0      |
| eta_c(2S)         |       100441 |   0  |   3.639 GeV |         10 MeV |      0     |       eta_c(2S)      |   100441   |        self-cc       |
| psi(2S)           |       100443 |   0  |   3.686 GeV |        299 keV |      0     |        psi(2S)       |   100443   |        self-cc       |
| chi_c2(2P)        |       100445 |   0  |   3.927 GeV |         24 MeV |      0     |      chi_c2(2P)      |      0     |        self-cc       |
| eta_b(2S)         |       100551 |   0  |   9.997 GeV |          0 ns  |      0     |       eta_b(2S)      |      0     |        self-cc       |
| Upsilon(2S)       |       100553 |   0  |   10.02 GeV |      31.98 keV |      0     |      Upsilon(2S)     |   100553   |        self-cc       |
| chi_b2(2P)        |       100555 |   0  |   10.27 GeV |          0 ns  |      0     |      chi_b2(2P)      |   100555   |        self-cc       |
| Upsilon_3(2D)     |       100557 |   0  |   10.44 GeV |          0 ns  |      0     |     Upsilon_3(2D)    |   100557   |        self-cc       |
| Sigma(2250)~+     |      -103112 |   1  |    2.25 GeV |        100 MeV |      0     |   anti-Sigma(2250)+  |      0     |     Sigma(2250)-     |
| Sigma(2250)-      |       103112 |  -1  |    2.25 GeV |        100 MeV |      0     |     Sigma(2250)-     |      0     |     Sigma(2250)~+    |
| Sigma(2250)~0     |      -103212 |   0  |    2.25 GeV |        100 MeV |      0     |   anti-Sigma(2250)0  |      0     |     Sigma(2250)0     |
| Sigma(2250)0      |       103212 |   0  |    2.25 GeV |        100 MeV |      0     |     Sigma(2250)0     |      0     |     Sigma(2250)~0    |
| Sigma(2250)~-     |      -103222 |  -1  |    2.25 GeV |        100 MeV |      0     |   anti-Sigma(2250)-  |      0     |     Sigma(2250)+     |
| Sigma(2250)+      |       103222 |   1  |    2.25 GeV |        100 MeV |      0     |     Sigma(2250)+     |      0     |     Sigma(2250)~-    |
| Xi(1950)~+        |      -103316 |   1  |    1.95 GeV |         60 MeV |      0     |    anti-Xi(1950)+    |      0     |       Xi(1950)-      |
| Xi(1950)-         |       103316 |  -1  |    1.95 GeV |         60 MeV |      0     |       Xi(1950)-      |      0     |      Xi(1950)~+      |
| Xi(1950)~0        |      -103326 |   0  |    1.95 GeV |         60 MeV |      0     |    anti-Xi(1950)0    |      0     |       Xi(1950)0      |
| Xi(1950)0         |       103326 |   0  |    1.95 GeV |         60 MeV |      0     |       Xi(1950)0      |      0     |      Xi(1950)~0      |
| Lambda_c(2625)~-  |      -104124 |  -1  |   2.628 GeV |          0 ns  |      0     | anti-Lambda_c(2625)- |      0     |    Lambda_c(2625)+   |
| Lambda_c(2625)+   |       104124 |   1  |   2.628 GeV |          0 ns  |      0     |    Lambda_c(2625)+   |      0     |   Lambda_c(2625)~-   |
| Xi_c(2815)~0      |      -104312 |   0  |    2.82 GeV |          0 ns  |      0     |   anti-Xi_c(2815)0   |      0     |      Xi_c(2815)0     |
| Xi_c(2815)0       |       104312 |   0  |    2.82 GeV |          0 ns  |      0     |      Xi_c(2815)0     |      0     |     Xi_c(2815)~0     |
| Xi_c(2790)~0      |      -104314 |   0  |   2.792 GeV |          0 ns  |      0     |   anti-Xi_c(2790)0   |      0     |      Xi_c(2790)0     |
| Xi_c(2790)0       |       104314 |   0  |   2.792 GeV |          0 ns  |      0     |      Xi_c(2790)0     |      0     |     Xi_c(2790)~0     |
| Xi_c(2815)~-      |      -104322 |  -1  |   2.817 GeV |          0 ns  |      0     |   anti-Xi_c(2815)-   |      0     |      Xi_c(2815)+     |
| Xi_c(2815)+       |       104322 |   1  |   2.817 GeV |          0 ns  |      0     |      Xi_c(2815)+     |      0     |     Xi_c(2815)~-     |
| Xi_c(2790)~-      |      -104324 |  -1  |   2.789 GeV |          0 ns  |      0     |   anti-Xi_c(2790)-   |      0     |      Xi_c(2790)+     |
| Xi_c(2790)+       |       104324 |   1  |   2.789 GeV |          0 ns  |      0     |      Xi_c(2790)+     |      0     |     Xi_c(2790)~-     |
| chi_b0(2P)        |       110551 |   0  |   10.23 GeV |          0 ns  |      0     |      chi_b0(2P)      |   110551   |        self-cc       |
| h_b(2P)           |       110553 |   0  |   10.26 GeV |          0 ns  |      0     |        h_b(2P)       |   110553   |        self-cc       |
| eta_b2(2D)        |       110555 |   0  |   10.44 GeV |          0 ns  |      0     |      eta_b2(2D)      |   110555   |        self-cc       |
| chi_b1(2P)        |       120553 |   0  |   10.26 GeV |          0 ns  |      0     |      chi_b1(2P)      |   120553   |        self-cc       |
| Upsilon_2(2D)     |       120555 |   0  |   10.44 GeV |          0 ns  |      0     |     Upsilon_2(2D)    |   120555   |        self-cc       |
| Upsilon_1(2D)     |       130553 |   0  |   10.43 GeV |          0 ns  |      0     |     Upsilon_1(2D)    |   130553   |        self-cc       |
| eta_b(3S)         |       200551 |   0  |   10.34 GeV |          0 ns  |      0     |       eta_b(3S)      |      0     |        self-cc       |
| Upsilon(3S)       |       200553 |   0  |   10.36 GeV |       20.3 keV |      0     |      Upsilon(3S)     |   200553   |        self-cc       |
| chi_b2(3P)        |       200555 |   0  |   10.53 GeV |          0 ns  |      0     |      chi_b2(3P)      |   200555   |        self-cc       |
| Xi(1690)~+        |      -203312 |   1  |    1.69 GeV |          0 ns  |      0     |    anti-Xi(1690)+    |      0     |       Xi(1690)-      |
| Xi(1690)-         |       203312 |  -1  |    1.69 GeV |          0 ns  |      0     |       Xi(1690)-      |      0     |      Xi(1690)~+      |
| Xi(2030)~+        |      -203316 |   1  |   2.025 GeV |         20 MeV |      0     |    anti-Xi(2030)+    |      0     |       Xi(2030)-      |
| Xi(2030)-         |       203316 |  -1  |   2.025 GeV |         20 MeV |      0     |       Xi(2030)-      |      0     |      Xi(2030)~+      |
| Xi(1690)~0        |      -203322 |   0  |    1.69 GeV |          0 ns  |      0     |    anti-Xi(1690)0    |      0     |       Xi(1690)0      |
| Xi(1690)0         |       203322 |   0  |    1.69 GeV |          0 ns  |      0     |       Xi(1690)0      |      0     |      Xi(1690)~0      |
| Xi(2030)~0        |      -203326 |   0  |   2.025 GeV |         20 MeV |      0     |    anti-Xi(2030)0    |      0     |       Xi(2030)0      |
| Xi(2030)0         |       203326 |   0  |   2.025 GeV |         20 MeV |      0     |       Xi(2030)0      |      0     |      Xi(2030)~0      |
| Omega(2250)~+     |      -203338 |   1  |   2.252 GeV |         55 MeV |      0     |   anti-Omega(2250)+  |      0     |     Omega(2250)-     |
| Omega(2250)-      |       203338 |  -1  |   2.252 GeV |         55 MeV |      0     |     Omega(2250)-     |      0     |     Omega(2250)~+    |
| Lambda_c(2880)~-  |      -204126 |  -1  |   2.882 GeV |        5.8 MeV |      0     | anti-Lambda_c(2880)- |      0     |    Lambda_c(2880)+   |
| Lambda_c(2880)+   |       204126 |   1  |   2.882 GeV |        5.8 MeV |      0     |    Lambda_c(2880)+   |      0     |   Lambda_c(2880)~-   |
| chi_b0(3P)        |       210551 |   0  |    10.5 GeV |          0 ns  |      0     |      chi_b0(3P)      |   210551   |        self-cc       |
| h_b(3P)           |       210553 |   0  |   10.52 GeV |          0 ns  |      0     |        h_b(3P)       |   210553   |        self-cc       |
| chi_b1(3P)        |       220553 |   0  |   10.52 GeV |          0 ns  |      0     |      chi_b1(3P)      |   220553   |        self-cc       |
| Upsilon(4S)       |       300553 |   0  |   10.58 GeV |       20.5 MeV |      0     |      Upsilon(4S)     |   300553   |        self-cc       |
| ~d_Lbar           |     -1000001 | +1/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -1000001  |         ~d_L         |
| ~d_L              |      1000001 | -1/3 |     500 GeV |          0 ns  |      0     |        unknown       |   1000001  |        ~d_Lbar       |
| ~u_Lbar           |     -1000002 | -2/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -1000002  |         ~u_L         |
| ~u_L              |      1000002 | +2/3 |     500 GeV |          0 ns  |      0     |        unknown       |   1000002  |        ~u_Lbar       |
| ~s_Lbar           |     -1000003 | +1/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -1000003  |         ~s_L         |
| ~s_L              |      1000003 | -1/3 |     500 GeV |          0 ns  |      0     |        unknown       |   1000003  |        ~s_Lbar       |
| ~c_Lbar           |     -1000004 | -2/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -1000004  |         ~c_L         |
| ~c_L              |      1000004 | +2/3 |     500 GeV |          0 ns  |      0     |        unknown       |   1000004  |        ~c_Lbar       |
| ~b_1bar           |     -1000005 | +1/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -1000005  |         ~b_1         |
| ~b_1              |      1000005 | -1/3 |     500 GeV |          0 ns  |      0     |        unknown       |   1000005  |        ~b_1bar       |
| ~t_1bar           |     -1000006 | -2/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -1000006  |         ~t_1         |
| ~t_1              |      1000006 | +2/3 |     500 GeV |          0 ns  |      0     |        unknown       |   1000006  |        ~t_1bar       |
| ~e_L+             |     -1000011 |   1  |     500 GeV |          0 ns  |      0     |        unknown       |  -1000011  |         ~e_L-        |
| ~e_L-             |      1000011 |  -1  |     500 GeV |          0 ns  |      0     |        unknown       |   1000011  |         ~e_L+        |
| ~nu_eLbar         |     -1000012 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |  -1000012  |        ~nu_eL        |
| ~nu_eL            |      1000012 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   1000012  |       ~nu_eLbar      |
| ~mu_L+            |     -1000013 |   1  |     500 GeV |          0 ns  |      0     |        unknown       |  -1000013  |        ~mu_L-        |
| ~mu_L-            |      1000013 |  -1  |     500 GeV |          0 ns  |      0     |        unknown       |   1000013  |        ~mu_L+        |
| ~nu_muLbar        |     -1000014 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |  -1000014  |        ~nu_muL       |
| ~nu_muL           |      1000014 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   1000014  |      ~nu_muLbar      |
| ~tau_1+           |     -1000015 |   1  |     500 GeV |          0 ns  |      0     |        unknown       |  -1000015  |        ~tau_1-       |
| ~tau_1-           |      1000015 |  -1  |     500 GeV |          0 ns  |      0     |        unknown       |   1000015  |        ~tau_1+       |
| ~nu_tauLbar       |     -1000016 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |  -1000016  |       ~nu_tauL       |
| ~nu_tauL          |      1000016 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   1000016  |      ~nu_tauLbar     |
| ~g                |      1000021 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   1000021  |        self-cc       |
| ~chi_10           |      1000022 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   1000022  |        self-cc       |
| ~chi_20           |      1000023 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   1000023  |        self-cc       |
| ~chi_1-           |     -1000024 |  -1  |     500 GeV |          0 ns  |      0     |        unknown       |  -1000024  |        ~chi_1+       |
| ~chi_1+           |      1000024 |   1  |     500 GeV |          0 ns  |      0     |        unknown       |   1000024  |        ~chi_1-       |
| ~chi_30           |      1000025 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   1000025  |        self-cc       |
| ~chi_40           |      1000035 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   1000035  |        self-cc       |
| ~chi_2-           |     -1000037 |  -1  |     500 GeV |          0 ns  |      0     |        unknown       |  -1000037  |        ~chi_2+       |
| ~chi_2+           |      1000037 |   1  |     500 GeV |          0 ns  |      0     |        unknown       |   1000037  |        ~chi_2-       |
| ~Gravitino        |      1000039 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   1000039  |        self-cc       |
| ~d_Rbar           |     -2000001 | +1/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -2000001  |         ~d_R         |
| ~d_R              |      2000001 | -1/3 |     500 GeV |          0 ns  |      0     |        unknown       |   2000001  |        ~d_Rbar       |
| ~u_Rbar           |     -2000002 | -2/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -2000002  |         ~u_R         |
| ~u_R              |      2000002 | +2/3 |     500 GeV |          0 ns  |      0     |        unknown       |   2000002  |        ~u_Rbar       |
| ~s_Rbar           |     -2000003 | +1/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -2000003  |         ~s_R         |
| ~s_R              |      2000003 | -1/3 |     500 GeV |          0 ns  |      0     |        unknown       |   2000003  |        ~s_Rbar       |
| ~c_Rbar           |     -2000004 | -2/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -2000004  |         ~c_R         |
| ~c_R              |      2000004 | +2/3 |     500 GeV |          0 ns  |      0     |        unknown       |   2000004  |        ~c_Rbar       |
| ~b_2bar           |     -2000005 | +1/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -2000005  |         ~b_2         |
| ~b_2              |      2000005 | -1/3 |     500 GeV |          0 ns  |      0     |        unknown       |   2000005  |        ~b_2bar       |
| ~t_2bar           |     -2000006 | -2/3 |     500 GeV |          0 ns  |      0     |        unknown       |  -2000006  |         ~t_2         |
| ~t_2              |      2000006 | +2/3 |     500 GeV |          0 ns  |      0     |        unknown       |   2000006  |        ~t_2bar       |
| ~e_R+             |     -2000011 |   1  |     500 GeV |          0 ns  |      0     |        unknown       |  -2000011  |         ~e_R-        |
| ~e_R-             |      2000011 |  -1  |     500 GeV |          0 ns  |      0     |        unknown       |   2000011  |         ~e_R+        |
| ~nu_eRbar         |     -2000012 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |  -2000012  |        ~nu_eR        |
| ~nu_eR            |      2000012 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   2000012  |       ~nu_eRbar      |
| ~mu_R+            |     -2000013 |   1  |     500 GeV |          0 ns  |      0     |        unknown       |  -2000013  |        ~mu_R-        |
| ~mu_R-            |      2000013 |  -1  |     500 GeV |          0 ns  |      0     |        unknown       |   2000013  |        ~mu_R+        |
| ~nu_muRbar        |     -2000014 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |  -2000014  |        ~nu_muR       |
| ~nu_muR           |      2000014 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   2000014  |      ~nu_muRbar      |
| ~tau_2+           |     -2000015 |   1  |     500 GeV |          0 ns  |      0     |        unknown       |  -2000015  |        ~tau_2-       |
| ~tau_2-           |      2000015 |  -1  |     500 GeV |          0 ns  |      0     |        unknown       |   2000015  |        ~tau_2+       |
| ~nu_tauRbar       |     -2000016 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |  -2000016  |       ~nu_tauR       |
| ~nu_tauR          |      2000016 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   2000016  |      ~nu_tauRbar     |
| pi_tc0            |      3000111 |   0  |     110 GeV |          0 ns  |      0     |        unknown       |   3000111  |        self-cc       |
| rho_tc0           |      3000113 |   0  |     210 GeV |          0 ns  |      0     |        unknown       |   3000113  |        self-cc       |
| pi_tc-            |     -3000211 |  -1  |     110 GeV |          0 ns  |      0     |        unknown       |  -3000211  |        pi_tc+        |
| pi_tc+            |      3000211 |   1  |     110 GeV |          0 ns  |      0     |        unknown       |   3000211  |        pi_tc-        |
| rho_tc-           |     -3000213 |  -1  |     210 GeV |          0 ns  |      0     |        unknown       |  -3000213  |        rho_tc+       |
| rho_tc+           |      3000213 |   1  |     210 GeV |          0 ns  |      0     |        unknown       |   3000213  |        rho_tc-       |
| pi'_tc0           |      3000221 |   0  |     110 GeV |          0 ns  |      0     |        unknown       |   3000221  |        self-cc       |
| omega_tc          |      3000223 |   0  |     210 GeV |          0 ns  |      0     |        unknown       |   3000223  |        self-cc       |
| eta_tc0           |      3000331 |   0  |     350 GeV |          0 ns  |      0     |        unknown       |   3000331  |        self-cc       |
| V8_tc             |      3100021 |   0  |     500 GeV |          0 ns  |      0     |        unknown       |   3100021  |        self-cc       |
| pi_22_1_tc        |      3100111 |   0  |     125 GeV |          0 ns  |      0     |        unknown       |   3100111  |        self-cc       |
| rho_11_tc         |      3100113 |   0  |     400 GeV |          0 ns  |      0     |        unknown       |   3100113  |        self-cc       |
| pi_22_8_tc        |      3200111 |   0  |     250 GeV |          0 ns  |      0     |        unknown       |   3200111  |        self-cc       |
| rho_12_tc         |      3200113 |   0  |     350 GeV |          0 ns  |      0     |        unknown       |   3200113  |        self-cc       |
| rho_21_tc         |      3300113 |   0  |     350 GeV |          0 ns  |      0     |        unknown       |   3300113  |        self-cc       |
| rho_22_tc         |      3400113 |   0  |     300 GeV |          0 ns  |      0     |        unknown       |   3400113  |        self-cc       |
| d*bar             |     -4000001 | +1/3 |     400 GeV |          0 ns  |      0     |        unknown       |  -4000001  |          d*          |
| d*                |      4000001 | -1/3 |     400 GeV |          0 ns  |      0     |        unknown       |   4000001  |         d*bar        |
| u*bar             |     -4000002 | -2/3 |     400 GeV |          0 ns  |      0     |        unknown       |  -4000002  |          u*          |
| u*                |      4000002 | +2/3 |     400 GeV |          0 ns  |      0     |        unknown       |   4000002  |         u*bar        |
| e*bar+            |     -4000011 |   1  |     400 GeV |          0 ns  |      0     |        unknown       |  -4000011  |          e*-         |
| e*-               |      4000011 |  -1  |     400 GeV |          0 ns  |      0     |        unknown       |   4000011  |        e*bar+        |
| nu*_ebar0         |     -4000012 |   0  |     400 GeV |          0 ns  |      0     |        unknown       |  -4000012  |        nu*_e0        |
| nu*_e0            |      4000012 |   0  |     400 GeV |          0 ns  |      0     |        unknown       |   4000012  |       nu*_ebar0      |
| Graviton*         |      5000039 |   0  |       1 TeV |          0 ns  |      0     |        unknown       |   5000039  |        self-cc       |
| a_0(980)0         |      9000111 |   0  |     980 MeV |         75 MeV |      0     |         a_00         |    10111   |        self-cc       |
| pi_1(1400)0       |      9000113 |   0  |   1.354 GeV |        330 MeV |      0     |      pi_1(1400)0     |      0     |        self-cc       |
| a_0(980)-         |     -9000211 |  -1  |     980 MeV |         75 MeV |      0     |         a_0-         |   -10211   |       a_0(980)+      |
| a_0(980)+         |      9000211 |   1  |     980 MeV |         75 MeV |      0     |         a_0+         |    10211   |       a_0(980)-      |
| pi_1(1400)-       |     -9000213 |  -1  |   1.354 GeV |        330 MeV |      0     |      pi_1(1400)-     |      0     |      pi_1(1400)+     |
| pi_1(1400)+       |      9000213 |   1  |   1.354 GeV |        330 MeV |      0     |      pi_1(1400)+     |      0     |      pi_1(1400)-     |
| sigma_0           |      9000221 |   0  |     475 MeV |        550 MeV |      0     |        sigma_0       |      0     |        self-cc       |
| psi(4040)         |      9000443 |   0  |   4.039 GeV |         80 MeV |      0     |       psi(4040)      |      0     |        self-cc       |
| Upsilon(10860)    |      9000553 |   0  |   10.88 GeV |         55 MeV |      0     |      Upsilon(5S)     |      0     |        self-cc       |
| pi(1800)0         |      9010111 |   0  |   1.812 GeV |        208 MeV |      0     |        unknown       |      0     |        self-cc       |
| pi_1(1600)0       |      9010113 |   0  |   1.662 GeV |        240 MeV |      0     |      pi_1(1600)0     |      0     |        self-cc       |
| pi(1800)-         |     -9010211 |  -1  |   1.812 GeV |        208 MeV |      0     |        unknown       |      0     |       pi(1800)+      |
| pi(1800)+         |      9010211 |   1  |   1.812 GeV |        208 MeV |      0     |        unknown       |      0     |       pi(1800)-      |
| pi_1(1600)-       |     -9010213 |  -1  |   1.662 GeV |        240 MeV |      0     |      pi_1(1600)-     |      0     |      pi_1(1600)+     |
| pi_1(1600)+       |      9010213 |   1  |   1.662 GeV |        240 MeV |      0     |      pi_1(1600)+     |      0     |      pi_1(1600)-     |
| f_0(980)          |      9010221 |   0  |     990 MeV |         70 MeV |      0     |          f_0         |    10221   |        self-cc       |
| psi(4160)         |      9010443 |   0  |   4.191 GeV |         70 MeV |      0     |       psi(4160)      |      0     |        self-cc       |
| Upsilon(11020)    |      9010553 |   0  |   11.02 GeV |         79 MeV |      0     |        unknown       |      0     |        self-cc       |
| eta(1405)0        |      9020221 |   0  |   1.409 GeV |         51 MeV |      0     |      eta(1405)0      |      0     |        self-cc       |
| psi(4415)         |      9020443 |   0  |   4.421 GeV |         62 MeV |      0     |       psi(4415)      |      0     |        self-cc       |
| f_0(1500)         |      9030221 |   0  |   1.505 GeV |        109 MeV |      0     |       f_0(1500)      |      0     |        self-cc       |
| Z(4430)-          |     -9042413 |  -1  |   4.433 GeV |        317 keV |      0     |       Z(4430)-       |  -9042413  |       Z(4430)+       |
| Z(4430)+          |      9042413 |   1  |   4.433 GeV |        317 keV |      0     |       Z(4430)+       |   9042413  |       Z(4430)-       |
| f_2(1950)         |      9050225 |   0  |   1.944 GeV |        472 MeV |      0     |        unknown       |      0     |        self-cc       |
